                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.7503,                0.48865,                0.95911,                0.92425,                0.94097,                0.95502,                0.68272,                0.90844,                0.49751,                  1.056,             0.00015627,             0.00015627,             0.00015627
                     73,                0.72611,                0.47657,                0.96684,                0.90819,                0.94431,                0.95801,                0.69837,                0.86145,                0.48576,                 1.0393,             0.00015107,             0.00015107,             0.00015107
                     74,                0.73553,                0.48767,                0.96887,                0.88284,                0.94518,                0.96426,                0.70144,                 0.8638,                0.48722,                 1.0453,             0.00014586,             0.00014586,             0.00014586
                     75,                0.71004,                0.47666,                0.96628,                0.93964,                0.93948,                0.96133,                0.69257,                0.88927,                0.48652,                 1.0647,             0.00014065,             0.00014065,             0.00014065
                     76,                0.69538,                 0.4617,                0.95199,                0.92871,                0.94106,                0.97081,                0.70466,                0.87943,                0.48772,                 1.0568,             0.00013544,             0.00013544,             0.00013544
                     77,                0.70242,                0.47169,                0.95248,                0.89041,                0.93346,                0.96206,                0.68423,                0.87522,                0.47781,                  1.065,             0.00013024,             0.00013024,             0.00013024
                     78,                 0.7162,                0.47628,                0.96603,                0.92156,                0.93185,                0.96163,                0.69608,                0.87121,                0.49711,                 1.0601,             0.00012503,             0.00012503,             0.00012503
                     79,                0.68959,                0.45091,                0.94595,                0.92157,                0.93269,                0.95877,                0.69093,                0.87288,                0.48367,                  1.058,             0.00011982,             0.00011982,             0.00011982
                     80,                0.70518,                0.46586,                0.96014,                0.93871,                0.93843,                 0.9613,                0.69015,                0.87523,                0.49774,                 1.0558,             0.00011462,             0.00011462,             0.00011462
                     81,                0.69117,                0.46717,                0.95003,                0.90571,                0.94549,                0.95959,                0.70605,                0.85788,                0.47309,                 1.0423,             0.00010941,             0.00010941,             0.00010941
                     82,                0.66559,                0.43866,                0.93379,                0.92199,                0.94276,                0.95818,                0.70032,                0.84552,                0.46358,                 1.0493,              0.0001042,              0.0001042,              0.0001042
                     83,                0.68905,                0.46165,                0.94295,                0.94679,                 0.9208,                0.96748,                0.69965,                0.87121,                 0.4563,                 1.0611,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.67154,                0.45991,                 0.9248,                0.93235,                0.93901,                0.97212,                0.70445,                0.87004,                0.46603,                 1.0485,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.68632,                0.45519,                0.93867,                0.94224,                0.94631,                0.96208,                0.70603,                0.86003,                0.45864,                 1.0457,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.68598,                 0.4628,                0.94774,                0.91925,                0.93942,                0.96355,                0.70627,                0.84993,                0.45718,                 1.0339,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.66311,                0.43533,                0.92667,                0.93093,                0.94562,                0.95718,                0.69549,                0.87782,                0.46642,                 1.0468,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.66495,                0.43438,                 0.9235,                0.92308,                0.94521,                0.95953,                0.70595,                0.85485,                0.46153,                  1.053,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.65729,                0.43738,                 0.9359,                0.93068,                0.95109,                0.96139,                0.70949,                0.84527,                0.45405,                 1.0408,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.64069,                0.42651,                0.92825,                0.94023,                0.94074,                0.95979,                0.71142,                0.84566,                0.45691,                 1.0432,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.60989,                0.39843,                0.89571,                0.93417,                0.93897,                0.95921,                  0.695,                0.85296,                0.45867,                 1.0581,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.57589,                0.37763,                 0.8781,                0.92432,                0.94388,                0.96072,                0.70048,                0.85149,                0.46063,                 1.0605,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.56774,                0.37043,                0.88239,                 0.9217,                0.94318,                0.96145,                0.69543,                 0.8452,                0.45919,                 1.0568,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.57176,                0.36305,                0.88477,                0.93091,                0.94377,                0.95795,                 0.6977,                0.84701,                0.46106,                  1.049,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.56203,                 0.3583,                0.87937,                0.92707,                0.94476,                0.96156,                0.69409,                0.85051,                0.45844,                 1.0524,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.55028,                0.35594,                0.86358,                 0.9198,                0.94958,                0.96032,                0.70191,                0.84093,                 0.4594,                 1.0497,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.55478,                0.35338,                0.89091,                0.92533,                  0.945,                0.96086,                0.70413,                0.84846,                0.46624,                  1.056,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.55667,                0.35441,                0.86818,                0.92118,                0.94463,                0.96112,                0.70309,                0.84627,                0.46306,                 1.0535,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.53792,                0.35553,                0.86857,                0.92806,                0.94503,                0.96086,                0.69944,                0.84724,                0.46243,                 1.0531,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.55231,                 0.3444,                0.87517,                0.92961,                0.94477,                0.96054,                0.69935,                 0.8489,                0.46332,                  1.055,             1.0467e-05,             1.0467e-05,             1.0467e-05
